15502;SCI.trai;Harjoittelu;Training;Praktik;01.08.2016 - 31.07.2017;;0-10;;;
15501;SCI.khar;Kansainvälinen harjoittelu (alempi perustutkinto);International Training (lower university degree);Internationell praktik (lägre grundexamen);01.08.2016 - 31.07.2017;;1-25;;;
15500;SCI.itra;Kansainvälinen harjoittelu (ylempi perustutkinto);International Training (higher university degree);Internationell praktik (högre grundexamen);01.08.2016 - 31.07.2017;;1-25;;;
15499;SCI.harj;Harjoittelu;Training;Praktik;01.08.2016 - 31.07.2017;;0-10;;;
15032;SCI-C1000;SCI-projektikurssi;SCI project;SCI projekt;02.01.2017 - 19.05.2017;I-II, III-V (syksy 2016, kevät 2017);10;Stina Giesecke;Kurssin tavoitteena on kehittää opiskelijan kykyä ymmärtää systeemisten ongelmien tunnistamisen, määrittelemisen ja ratkaisemisen monialaista luonnetta ja soveltaa iteratiivisen suunnitteluprosessin periaatteita.      Kurssin suoritettuaan opiskelija:   • osaa jakaa ja yhdistää omaa osaamistaan muiden alojen osaajien kanssa   • osaa ennakoida monialaisessa ryhmässä syntyviä, jäsenten erilaisten vuorovaikutus- ja työskentelytyylien synnyttämiä jännitteitä ja löytää niihin ratkaisuja   • tunnistaa omia heikkouksiaan ja vahvuuksiaan toimiessaan monialaisen ryhmän jäsenenä   • osaa arvioida ratkaisuehdotusten liiketoimintapotentiaalia   • osaa esitellä tulokset suullisesti ja kirjallisesti, hyvän tieteellisen käytännön periaatteiden mukaisesti.     ;Kurssin sisältö noudattaa innovaatioprosessin vaiheita ideasta liiketoimintapotentiaalin arviointiin. Kurssilla työskennellään menetelmin, jotka vahvistavat opiskelijoiden valmiuksia toimia monialaisessa asiantuntijaryhmässä sekä soveltaa iteratiivista suunnitteluprosessia monitahoisten ongelmien ratkaisemiseen.     ;
15031;SCI-C1000;SCI-projektikurssi;SCI project;SCI projekt;12.09.2016 - 16.12.2016;I-II, III-V (syksy 2016, kevät 2017);10;Stina Giesecke;Kurssin tavoitteena on kehittää opiskelijan kykyä ymmärtää systeemisten ongelmien tunnistamisen, määrittelemisen ja ratkaisemisen monialaista luonnetta ja soveltaa iteratiivisen suunnitteluprosessin periaatteita.      Kurssin suoritettuaan opiskelija:   • osaa jakaa ja yhdistää omaa osaamistaan muiden alojen osaajien kanssa   • osaa ennakoida monialaisessa ryhmässä syntyviä, jäsenten erilaisten vuorovaikutus- ja työskentelytyylien synnyttämiä jännitteitä ja löytää niihin ratkaisuja   • tunnistaa omia heikkouksiaan ja vahvuuksiaan toimiessaan monialaisen ryhmän jäsenenä   • osaa arvioida ratkaisuehdotusten liiketoimintapotentiaalia   • osaa esitellä tulokset suullisesti ja kirjallisesti, hyvän tieteellisen käytännön periaatteiden mukaisesti.     ;Kurssin sisältö noudattaa innovaatioprosessin vaiheita ideasta liiketoimintapotentiaalin arviointiin. Kurssilla työskennellään menetelmin, jotka vahvistavat opiskelijoiden valmiuksia toimia monialaisessa asiantuntijaryhmässä sekä soveltaa iteratiivista suunnitteluprosessia monitahoisten ongelmien ratkaisemiseen.     ;
14760;SCI-A0000;Johdatus opiskeluun 2016-2017;Introduction to Studies 2016-2017;Introduktion till studierna 2016-2017;15.09.2016 - 07.04.2017;I-V;2;Eerikki Mäki, Stina Giesecke, Sanna Suoranta, Mikko Alava;Johdatus opiskeluun -kurssi antaa valmiudet yliopisto-opintojen käynnistymiselle ja sujuvalle etenemiselle. Opiskelija osaa laatia henkilökohtaisen opintosuunnitelman (HOPS), omaksuu tietoa erilaisista opiskelutekniikoista ja ajankäytön suunnittelusta sekä tuntee pääaineensa oppimisympäristön.     ;Tutustuminen Aalto-yliopistoon, omaan Perustieteiden korkeakouluun ja oman tieteenalaan ja sen tutkimukseen. Tutustuminen oman pääaineen tutkintovaatimuksiin. Opintojen suunnittelu ja seuranta. Henkilökohtainen opintosuunnitelma (HOPS). Ajankäytön hallinta. Opiskelijan opiskelumenetelmät ja – tekniikat. Opiskelun eettiset säännöt. Opettajatuutorointi. Tutustuminen yliopiston tietojärjestelmiin. Opiskelija- ja opintopalveluiden esittely. Tutustuminen kirjastoon. Matematiikan lähtötasotesti. Eri pääaineilla voi olla poikkeavaa sisältöä.     ;
11377;;;;;;;;
8716;SCI-A0000;Johdatus opiskeluun 2015-2016;Introduction to Studies;Introduktion till studierna;08.09.2015 - 09.12.2015;I-V;2;;;
8722;SCI-C1000;SCI-projektikurssi;SCI project;SCI projekt;04.01.2016 - 20.05.2016;I-II, III-V (syksy 2016, kevät 2017);10;;;
8721;SCI-C1000;SCI-projektikurssi;SCI project;SCI projekt;07.09.2015 - 04.12.2015;I-II, III-V (syksy 2016, kevät 2017);10;;;
9719;;;;;;;;
15839;MS-A0502;Todennäköisyyslaskennan ja tilastotieteen peruskurssi;Todennäköisyyslaskennan ja tilastotieteen peruskurssi;Todennäköisyyslaskennan ja tilastotieteen peruskurssi;25.07.2017 - 24.08.2017;II (syksy);5;;;
15838;MS-A0202;Differentiaali- ja integraalilaskenta 2 (SCI);Differentiaali- ja integraalilaskenta 2 (SCI);Differentiaali- ja integraalilaskenta 2 (SCI);16.05.2017 - 15.06.2017;I (syksy);5;Markku Malmivuori;;;
15753;MS-E1997;Random Matrices;Random Matrices;Random Matrices;10.04.2017 - 16.05.2017;;1-10;Christian Webb;;;
15646;MS-E1995;Tensors in Applications;Tensors in Applications;Tensors in Applications;22.02.2017 - 29.03.2017;;1-10;Kaie Kubjas;;;
15619;MS-E1990;Introduction to R-programming;Introduction to R-programming;Introduction to R-programming;14.01.2017 - 15.01.2017;;1-10;Sami Helander;;;
15363;MS-E1993;Hopf algebras and representations;Hopf algebras and representations;Hopf algebras and representations;31.10.2016 - 09.12.2016;;1-10;Kalle Kytölä;;;
15059;MS-E1992;Asymptotic statistics;Asymptotic statistics;Asymptotic statistics;;;1-10;Lasse Leskelä, Pauliina Ilmonen;;;
12013;;;;;;;;
12106;;;;;;;;
12107;;;;;;;;
12108;;;;;;;;
12109;;;;;;;;
12110;;;;;;;;
12111;;;;;;;;
12112;;;;;;;;
14768;SCI3029.kand;Kandidaatintyö ja seminaari (Matematiikka ja systeemitieteet);Bachelor's Thesis and Seminar (Mathematics and Systems Sciences);Kandidatarbete och seminarium (Matematik och systemvetenskaper);12.09.2016 - 30.09.2017;;10;Ahti Salo, Camilla Hollanti;;;
14632;Mat-1.1040;Matematiikan peruskurssi L4;Basic Course in Mathematics L4;Grundkurs i matematik L4;22.01.2017 - 05.02.2017;III-IV;10;Juha Kinnunen;;;
14498;MS-E2177;Operaatiotutkimuksen projektityöseminaari (V);Seminar on Case Studies in Operations Research (V);Projektarbetsseminarium i operationsanalys (V);13.01.2017 - 27.05.2017;III - IV;5;Ahti Salo;;;
14497;MS-E2170;Simulation (V);Simulation (V);Simulation (V);20.02.2017 - 30.03.2017;IV (Spring);5;Joona Tuovinen;;;
14496;MS-E2148;Dynamic optimization;Dynamic optimization;Dynamic optimization;31.10.2016 - 13.12.2016;II;5;Kimmo Berg;;;
14495;MS-E2142;Optimointiopin seminaari (V);Seminar on Optimization (V);Seminarium i optimeringslära (V);14.09.2016 - 27.11.2016;I-II;5;Harri Ehtamo;;;
14494;MS-E2140;Linear programming;Linear programming;Linear programming;13.09.2016 - 21.10.2016;I (Autumn);5;Enrico Bartolini;;;
14493;MS-E2139;Nonlinear programming;Nonlinear programming;Nonlinear programming;03.01.2017 - 10.02.2017;III (Spring);5;Kimmo Berg;;;
14492;MS-E2134;Decision making and problem solving;Decision making and problem solving;Decision making and problem solving;12.09.2016 - 21.10.2016;I (Autumn);5;Ahti Salo;;;
14491;MS-E2133;Systems analysis laboratory II;Systems analysis laboratory II;Systems analysis laboratory II;12.09.2016 - 07.12.2016;I - II (Autumn);5;Kai Virtanen;;;
14490;MS-E2129;Systeemien identifiointi;System Identification;Systemidentifiering;15.09.2016 - 09.12.2016;I - II;5;Kai Virtanen;;;
14489;MS-E2117;Riskianalyysi;Risk Analysis;Riskanalys;05.01.2017 - 30.03.2017;III - IV;5;Jan Holmberg, Ahti Salo;;;
14488;MS-E2114;Investment science;Investment science;Investment science;20.02.2017 - 31.03.2017;IV (Spring);5;Ahti Salo, Teemu Seeve, Antti Toppila;;;
