15032;SCI-C1000;SCI-projektikurssi;SCI project;SCI projekt;02.01.2017 - 19.05.2017;I-II, III-V (syksy 2016, kevät 2017);10
15031;SCI-C1000;SCI-projektikurssi;SCI project;SCI projekt;12.09.2016 - 16.12.2016;I-II, III-V (syksy 2016, kevät 2017);10
14760;SCI-A0000;Johdatus opiskeluun;Introduction to Studies;Introduktion till studierna;15.09.2016 - 20.10.2016;I-V;2
8716;SCI-A0000;Johdatus opiskeluun 2015-2016;Introduction to Studies;Introduktion till studierna;08.09.2015 - 09.12.2015;I-V;2
8722;SCI-C1000;SCI-projektikurssi;SCI project;SCI projekt;04.01.2016 - 20.05.2016;I-II, III-V (syksy 2016, kevät 2017);10
8721;SCI-C1000;SCI-projektikurssi;SCI project;SCI projekt;07.09.2015 - 04.12.2015;I-II, III-V (syksy 2016, kevät 2017);10
9719;;;;;;
15059;MS-E1992;Asymptotic statistics;Asymptotic statistics;Asymptotic statistics;12.09.2016 - 09.12.2016;;1-10
14768;SCI3029.kand;Kandidaatintyö ja seminaari (Matematiikka ja systeemitieteet);Bachelor's Thesis and Seminar (Mathematics and Systems Sciences);Kandidatarbete och seminarium (Matematik och systemvetenskaper);12.09.2016 - 19.05.2017;;10
14632;Mat-1.1040;Matematiikan peruskurssi L4;Basic Course in Mathematics L4;Grundkurs i matematik L4;22.01.2017 - 05.02.2017;III-IV;10
14498;MS-E2177;Operaatiotutkimuksen projektityöseminaari (V);Seminar on Case Studies in Operations Research (V);Projektarbetsseminarium i operationsanalys (V);13.01.2017 - 13.01.2017;III - IV;5
14497;MS-E2170;Simulation (V);Simulation (V);Simulation (V);20.02.2017 - 30.03.2017;IV (Spring);5
14496;MS-E2148;Dynamic optimization;Dynamic optimization;Dynamic optimization;31.10.2016 - 13.12.2016;II;5
14495;MS-E2142;Optimointiopin seminaari (V);Seminar on Optimization (V);Seminarium i optimeringslära (V);14.09.2016 - 07.12.2016;I-II;5
14494;MS-E2140;Linear programming;Linear programming;Linear programming;13.09.2016 - 21.10.2016;I (Autumn);5
14493;MS-E2139;Nonlinear programming;Nonlinear programming;Nonlinear programming;03.01.2017 - 10.02.2017;III (Spring);5
14492;MS-E2134;Decision making and problem solving;Decision making and problem solving;Decision making and problem solving;12.09.2016 - 21.10.2016;I (Autumn);5
14491;MS-E2133;Systems analysis laboratory II;Systems analysis laboratory II;Systems analysis laboratory II;12.09.2016 - 07.12.2016;I - II (Autumn);5
14490;MS-E2129;Systeemien identifiointi;System Identification;Systemidentifiering;15.09.2016 - 09.12.2016;I - II;5
14489;MS-E2117;Riskianalyysi;Risk Analysis;Riskanalys;05.01.2017 - 30.03.2017;III - IV;5
14488;MS-E2114;Investment science;Investment science;Investment science;20.02.2017 - 31.03.2017;IV (Spring);5
